domain,name,cc
www.defimedia.info,Defi Media,MU
www.djelfa.info,Djelfa,DZ
www.dmd.mg,DMD,MG
www.emarrakech.info,E Marrakech,MA
www.ereporter.com.ng,E Reporter,NG
www.ethiopianism.net,Ethiopianism,ET
www.fimdesemana.co.mz,Fim de Semana,MZ
www.ghananation.com,Ghana Nation,GH
www.guineatime.com,Guinea Time,GQ
www.guineeconakry.info,Guinee Conakry,GQ
www.hafianews.com,Hafia News,GQ
www.horizons-dz.com,Horizons,DZ
www.hurriyatsudan.com,Hurriyat,SD
www.infoskikda.com,Info Skikda,DZ
www.inthenews.co.za,In the News,ZA
www.jamhuuriya.info,Jamhuuriya,SO
www.jdd.sn,Journal de Dakar,SN
www.journaldikalo.info,Dikalo,CM
www.kitwetimes.com,Kitwe Times,ZM
www.kogireports.com,Kogi Reports,NG
www.ktnkenya.tv,Kenya Television Network,KE
www.lactualite-dz.info,L'Actualite,DZ
www.lagazette.sn,La Gazette,SN
www.lagazettedumaroc.com,La Gazette du Maroc,MA
www.latribune-dz.com,La Tribune,DZ
www.lelephantdechaine.net,L'Elephant Dechaine,CI
www.lequotidien.sn,Le Quotidien,SN
www.lequotidiendeconstantine.com,Le Quotidien de Constantine,DZ
www.lesetifien.com,Le Setifien,DZ
www.letempsdz.com,Le Temps d'Algerie,DZ
www.libyaherald.com,Libya Herald,LY
www.lifestyleads.co.za,Life and Style,ZA
www.malawidemocrat.com,Malawi Democrat,MW
www.malawitoday.com,Malawi Today,MW
www.malikounda.com,Mali Kounda,ML
www.map.ma,Maghrebe Arabe Presse,MA
www.nationalguidenewsonline.com,National Guide,NG
www.nekongo.org,Ne Kongo,CD
www.nettali.net,Nettali,SN
www.news.sl,Awareness Times,SL
www.newsdesk.ng,Nigeria News Desk,NG
www.nigerdeltaheraldonline.com,Niger Delta Herald,NG
www.nigeriaintel.com,Nigeria Intel,NG
www.nigeriannewsservice.com,Nigerian News Service,NG
www.nigeriannewsworld.com,Nigerian Newsworld,NG
www.nkomazivoice.com,Nkomazi Voice,ZA
www.oceanpress.info,Ocean Press,CV
www.onlinenigeria.com,Online Nigeria,NG
www.ortb.info,ORTB,BJ
www.pressedubenin.info,Presse du Benin,BJ
www.progres.net.eg,Le Proges Dimanche,EG
www.publiceye.co.ls,Public Eye,LS
www.radio-eltarf.com,Radio El Tarf,DZ
www.radiobanadir.com,Radio Banadir,SO
www.radiofreeafricatz.com,Radio Free Africa,TZ
www.redpepper.co.ug,Red Pepper,UG
www.rstv22.tv,Rivers State Television,NG
www.rwenzoritimes.com,Rwenzori Times,UG
www.sapa.org.za,SAPA,ZA
www.savana.co.mz,Savana,MZ
www.seybousetimes.com,Seybouse Times,DZ
www.shaebia.org,Shaebia,ER
www.slbc.sl,Sierra Leone Broadcasting,SL
www.sortmoz.com,Agencia Informacao Mocambique,MZ
www.southsudan.net,South Sudan,SS
www.spoti.co.tz,Spoti Starehe,TZ
www.stfrancisvillagenews.com,St. Francis Village News,ZA
www.sun.com.na,Namibian Sun,NA
www.supersport.com,Super Sport,ZA
www.tananarive.info,Tananarive,MG
www.tap.info.tn,Agence Tunis Afrique Presse,TN
www.tell.ng,Tell,NG
www.the-islander.org.ac,Islander,SH
www.thehabari.com,Habari,TZ
www.theinquirer.com.lr,Inquirer,LR
www.thenewtimespress.com,New Times,NG
www.togoforum.com,Togo Forum,TG
www.tristantimes.com,Tristan Times,SH
www.vaalweekly.com,Vaal Weekly,ZA
www.voiceofnigeria.org,Voice of Nigeria,NG
www.witness.co.za,Witness,ZA
www.zambezia.co.mz,Zambezia Online,MZ
zambia-weekly.com,Zambia Weekly,ZM
