"cc3","cc","domain","rtt"
"ZAF","ZA","landbou.com",42
"ZAF","ZA","www.observer.co.za",43
"ZAF","ZA","polokwaneexpress.co.za",25
"ETH","ET","www.ena.gov.et",9
"ZAF","ZA","www.cxpress.co.za",153
"ZAF","ZA","www.sake24.com",1
"CMR","CM","crtv.cm",641
"ZAF","ZA","landbou.com",18
"ZAF","ZA","www.paarlpost.co.za",38
"ZAF","ZA","www.kwevoel.co.za",26
"TGO","TG","www.editogo.tg",10
"ZAF","ZA","www.vaalweekblad.com",30
"ZAF","ZA","www.southafrica.info",3
"MOZ","MZ","www.rm.co.mz",27
"AGO","AO","www.portalangop.co.ao",363
"ZAF","ZA","ewn.co.za",25
"ZAF","ZA","www.pe-express.co.za",19
"ZAF","ZA","www.kwevoel.co.za",5
"ZAF","ZA","www.dieburger.com",24
"TUN","TN","www.essahafa.info.tn",15
"ZAF","ZA","www.vaalweekblad.com",3
"ZAF","ZA","www.peoplespost.co.za",27
"ZAF","ZA","www.dieburger.com",35
"TUN","TN","www.gnet.tn",9
"ZAF","ZA","www.sportelizabeth.co.za",4
"ZAF","ZA","www.peoplespost.co.za",42
"TUN","TN","www.gnet.tn",9
"ZAF","ZA","www.volksblad.com",19
"ZAF","ZA","www.hermanustimes.co.za",18
"ZAF","ZA","www.pmbfever.co.za",20
"ZAF","ZA","www.districtmail.com",39
"ZAF","ZA","www.weslander.co.za",3
"ZAF","ZA","www.ilanganews.co.za",6
"ZAF","ZA","www.sport24.co.za",2
"ZAF","ZA","www.702.co.za",4
"ZAF","ZA","www.beeld.com",30
"ZAF","ZA","www.sunshinecoastexpress.co.za",27
"ZAF","ZA","www.politicsweb.co.za",23
"ZAF","ZA","www.netwerk24.com",29
"TUN","TN","www.lapresse.tn",4
"ZAF","ZA","www.witness.co.za",49
"ZAF","ZA","www.sportelizabeth.co.za",5
"MAR","MA","www.leseco.ma",161
"ZAF","ZA","www.supersport.com",1
"ZAF","ZA","www.polity.org.za",25
"MWI","MW","www.manaonline.gov.mw",37
"ZAF","ZA","isoexpress.co.za",3
"ZAF","ZA","www.zoutnet.co.za",6
"ZAF","ZA","www.capetalk.co.za",64
"BDI","BI","www.netpress.bi",54
"ZAF","ZA","www.theannouncer.co.za",22
"ZAF","ZA","mthathaexpress.co.za",5
"ZAF","ZA","www.polity.org.za",1
"ZAF","ZA","www.eastlondonexpress.co.za",2
"ZAF","ZA","www.news24.com",23
"ZAF","ZA","www.capetalk.co.za",212
"ZAF","ZA","www.thebugle.co.za",28
"ZAF","ZA","www.gbn.co.za",9
"ZAF","ZA","www.potchefstroomherald.co.za",36
"ZAF","ZA","sedibengster.com",47
"ZAF","ZA","www.newspapers.co.za",25
"KEN","KE","www.kbc.co.ke",3
"BWA","BW","www.dailynews.gov.bw",9
"ZAF","ZA","www.kbn.co.za",38
"ZAF","ZA","www.carletonvilleherald.com",27
"ZAF","ZA","www.georgeherald.com",30
"ZAF","ZA","www.rapport.co.za",21
"LSO","LS","www.lena.gov.ls",30
"ZAF","ZA","www.edenexpress.co.za",4
"SYC","SC","www.sbc.sc",4
"ZAF","ZA","www.newspapers.co.za",92
"ZAF","ZA","www.cbn.co.za",38
"ZAF","ZA","www.greytown.co.za",4
"MAR","MA","bayanealyaoume.press.ma",161
"ZAF","ZA","www.edenexpress.co.za",22
"DZA","DZ","www.entv.dz",43
"ZAF","ZA","citizen.co.za",26
"ZAF","ZA","www.noseweek.co.za",22
"BWA","BW","www.sundaystandard.info",4
"ZAF","ZA","www.cbn.co.za",73
"MDG","MG","www.lagazette-dgi.com",2
"ZAF","ZA","www.tygerburger.co.za",18
"ZAF","ZA","www.greytown.co.za",4
"ZAF","ZA","citizen.co.za",2
"ZAF","ZA","www.observer.co.za",70
"ZAF","ZA","www.citypress.co.za",24
"ZAF","ZA","www.ud-news.co.za",27
"ZAF","ZA","www.grocotts.co.za",17
"ZAF","ZA","www.eikestadnuus.co.za",19
"MOZ","MZ","www.jornalnoticias.co.mz",4
"ZAF","ZA","www.observer.co.za",6
"ZAF","ZA","polokwaneexpress.co.za",36
"ZAF","ZA","www.kougaexpress.co.za",23
"ETH","ET","www.ena.gov.et",3
"ZAF","ZA","www.cxpress.co.za",22
"ZAF","ZA","www.ud-news.co.za",5
"ZAF","ZA","www.sake24.com",20
"ZAF","ZA","landbou.com",44
"ZAF","ZA","www.paarlpost.co.za",20
"ZAF","ZA","www.kwevoel.co.za",40
"TGO","TG","www.editogo.tg",23
"ZAF","ZA","www.southafrica.info",38
"MOZ","MZ","www.rm.co.mz",55
"AGO","AO","www.portalangop.co.ao",357
"ZAF","ZA","ewn.co.za",44
"ZAF","ZA","www.pe-express.co.za",26
"ZAF","ZA","www.kwevoel.co.za",22
"ZAF","ZA","www.dieburger.com",19
"TUN","TN","www.essahafa.info.tn",48
"ZAF","ZA","www.vaalweekblad.com",1
"ZAF","ZA","www.peoplespost.co.za",22
"ZAF","ZA","www.dieburger.com",24
"TUN","TN","www.essahafa.info.tn",14
"ZAF","ZA","www.sportelizabeth.co.za",14
"ZAF","ZA","www.peoplespost.co.za",18
"TUN","TN","www.gnet.tn",14
"ZMB","ZM","www.talk90point5.co.zm",2
"ZAF","ZA","www.volksblad.com",19
"ZAF","ZA","www.hermanustimes.co.za",66
"ZAF","ZA","www.pmbfever.co.za",31
"ZAF","ZA","www.districtmail.com",11
"MWI","MW","www.capitalradiomalawi.com",46
"DZA","DZ","www.carrefourdalgerie.com",40
"ZAF","ZA","www.weslander.co.za",44
"ZAF","ZA","www.ilanganews.co.za",3
"ZAF","ZA","www.sport24.co.za",51
"ZAF","ZA","www.702.co.za",65
"ZAF","ZA","www.beeld.com",10
"ZAF","ZA","www.sunshinecoastexpress.co.za",42
"ZAF","ZA","www.politicsweb.co.za",42
"ZAF","ZA","www.netwerk24.com",31
"ZAF","ZA","www.districtmail.com",48
"TUN","TN","www.lapresse.tn",14
"ZAF","ZA","www.witness.co.za",24
"ZAF","ZA","www.ilanganews.co.za",40
"ZAF","ZA","www.sport24.co.za",5
"ZAF","ZA","www.702.co.za",67
"ZAF","ZA","www.supersport.com",45
"ZAF","ZA","mthathaexpress.co.za",20
"ZAF","ZA","www.polity.org.za",40
"MWI","MW","www.manaonline.gov.mw",17
"ZAF","ZA","isoexpress.co.za",32
"ZAF","ZA","www.zoutnet.co.za",25
"ZAF","ZA","www.theannouncer.co.za",35
"ZAF","ZA","mthathaexpress.co.za",22
"ZAF","ZA","www.polity.org.za",16
"ZAF","ZA","www.eastlondonexpress.co.za",32
"ZAF","ZA","isoexpress.co.za",20
"ZAF","ZA","www.zoutnet.co.za",36
"ZAF","ZA","www.news24.com",1
"ZAF","ZA","www.capetalk.co.za",22
"ZAF","ZA","www.thebugle.co.za",23
"ZAF","ZA","www.gbn.co.za",44
"ZAF","ZA","www.potchefstroomherald.co.za",1
"ZAF","ZA","sedibengster.com",22
"ZAF","ZA","www.news24.com",25
"BWA","BW","www.dailynews.gov.bw",6
"ZAF","ZA","www.kbn.co.za",26
"ZAF","ZA","www.carletonvilleherald.com",24
"ZAF","ZA","www.georgeherald.com",30
"ZAF","ZA","www.rapport.co.za",13
"ZAF","ZA","www.edenexpress.co.za",19
"NAM","NA","www.nampa.org",11
"ZAF","ZA","www.newspapers.co.za",42
"ZAF","ZA","www.kbn.co.za",20
"ZAF","ZA","www.cbn.co.za",2
"ZAF","ZA","www.georgeherald.com",2
"MAR","MA","bayanealyaoume.press.ma",148
"ZAF","ZA","www.edenexpress.co.za",41
"ZAF","ZA","citizen.co.za",3
"ZAF","ZA","www.noseweek.co.za",2
"BWA","BW","www.sundaystandard.info",5
"ZAF","ZA","www.cbn.co.za",19
"MDG","MG","www.lagazette-dgi.com",2
"ZAF","ZA","www.greytown.co.za",40
"ZAF","ZA","citizen.co.za",26
"ZAF","ZA","www.observer.co.za",2
"ZAF","ZA","www.citypress.co.za",3
"ZAF","ZA","www.tygerburger.co.za",22
"ZAF","ZA","www.grocotts.co.za",24
"ZAF","ZA","www.eikestadnuus.co.za",32
"MOZ","MZ","www.jornalnoticias.co.mz",2
"ZAF","ZA","www.observer.co.za",148
"ZAF","ZA","polokwaneexpress.co.za",19
"ZAF","ZA","www.kougaexpress.co.za",23
"ZAF","ZA","www.cxpress.co.za",33
"ZAF","ZA","www.ud-news.co.za",18
"ZAF","ZA","www.sake24.com",3
"ZAF","ZA","landbou.com",9
"ZAF","ZA","www.paarlpost.co.za",1
"ZAF","ZA","www.kougaexpress.co.za",18
"TGO","TG","www.editogo.tg",32
"ZAF","ZA","www.southafrica.info",6
"MOZ","MZ","www.rm.co.mz",47
"CMR","CM","crtv.cm",940
"ZAF","ZA","ewn.co.za",28
"ZAF","ZA","www.pe-express.co.za",24
"ZAF","ZA","www.kwevoel.co.za",17
"TUN","TN","www.essahafa.info.tn",15
"ZAF","ZA","www.vaalweekblad.com",18
"ZAF","ZA","www.southafrica.info",29
"ZAF","ZA","ewn.co.za",104
"ZAF","ZA","www.pe-express.co.za",5
"ZAF","ZA","www.dieburger.com",32
"TUN","TN","www.essahafa.info.tn",28
"ZAF","ZA","www.peoplespost.co.za",42
"TUN","TN","www.gnet.tn",29
"ZMB","ZM","www.talk90point5.co.zm",1
"ZAF","ZA","www.volksblad.com",21
"ZAF","ZA","www.hermanustimes.co.za",1
"ZAF","ZA","www.pmbfever.co.za",19
"MWI","MW","www.capitalradiomalawi.com",87
"ZAF","ZA","www.weslander.co.za",19
"ZAF","ZA","www.hermanustimes.co.za",4
"ZAF","ZA","www.sport24.co.za",24
"ZAF","ZA","www.702.co.za",39
"ZAF","ZA","www.beeld.com",5
"ZAF","ZA","www.sunshinecoastexpress.co.za",19
"ZAF","ZA","www.politicsweb.co.za",4
"ZAF","ZA","www.netwerk24.com",3
"ZAF","ZA","www.districtmail.com",41
"TUN","TN","www.lapresse.tn",29
"ZAF","ZA","www.witness.co.za",70
"ZAF","ZA","www.ilanganews.co.za",13
"ZAF","ZA","www.sport24.co.za",5
"ZAF","ZA","www.702.co.za",62
"ZAF","ZA","www.supersport.com",20
"ZAF","ZA","mthathaexpress.co.za",1
"ZAF","ZA","www.politicsweb.co.za",32
"MWI","MW","www.manaonline.gov.mw",14
"TUN","TN","www.lapresse.tn",14
"ZAF","ZA","isoexpress.co.za",1
"ZAF","ZA","www.zoutnet.co.za",3
"ZAF","ZA","www.theannouncer.co.za",4
"ZAF","ZA","mthathaexpress.co.za",49
"ZAF","ZA","www.polity.org.za",4
"ZAF","ZA","www.eastlondonexpress.co.za",3
"ZAF","ZA","isoexpress.co.za",23
"ZAF","ZA","www.zoutnet.co.za",22
"ZAF","ZA","www.news24.com",2
"ZAF","ZA","www.jbaynews.com",2
"ZAF","ZA","www.capetalk.co.za",46
"ZAF","ZA","www.thebugle.co.za",5
"ZAF","ZA","www.gbn.co.za",18
"ZAF","ZA","www.potchefstroomherald.co.za",1
"ZAF","ZA","sedibengster.com",58
"ZAF","ZA","www.news24.com",1
"ZAF","ZA","www.kbn.co.za",41
"ZAF","ZA","www.carletonvilleherald.com",30
"ZAF","ZA","www.thebugle.co.za",25
"ZAF","ZA","www.georgeherald.com",21
"ZAF","ZA","www.rapport.co.za",1
"NAM","NA","www.nampa.org",175
"ZAF","ZA","www.newspapers.co.za",17
"ZAF","ZA","www.kbn.co.za",24
"ZAF","ZA","www.cbn.co.za",24
"ZAF","ZA","www.georgeherald.com",21
"ZAF","ZA","www.rapport.co.za",24
"MAR","MA","bayanealyaoume.press.ma",123
"ZAF","ZA","www.edenexpress.co.za",20
"ZAF","ZA","www.noseweek.co.za",18
"BWA","BW","www.radiobotswana.gov.bw",21
"ZAF","ZA","www.cbn.co.za",18
"MDG","MG","www.lagazette-dgi.com",1
"ZAF","ZA","www.greytown.co.za",22
"ZAF","ZA","citizen.co.za",18
"ZAF","ZA","www.noseweek.co.za",3
"ZAF","ZA","www.citypress.co.za",5
"ZAF","ZA","www.tygerburger.co.za",3
"ZAF","ZA","www.grocotts.co.za",10
"ZAF","ZA","www.eikestadnuus.co.za",1
"MOZ","MZ","www.jornalnoticias.co.mz",1
"ZMB","ZM","www.daily-mail.co.zm",1
"ZAF","ZA","www.observer.co.za",3
"ZAF","ZA","polokwaneexpress.co.za",1
"ZAF","ZA","www.kougaexpress.co.za",3
"ZAF","ZA","www.cxpress.co.za",5
"ZAF","ZA","www.ud-news.co.za",2
"ZAF","ZA","www.sake24.com",23
"ZAF","ZA","www.eikestadnuus.co.za",31
"ZAF","ZA","landbou.com",19
"ZAF","ZA","www.paarlpost.co.za",49
"ZAF","ZA","polokwaneexpress.co.za",26
"ZAF","ZA","www.kougaexpress.co.za",24
"TGO","TG","www.editogo.tg",2
"ZAF","ZA","www.southafrica.info",22
"MOZ","MZ","www.rm.co.mz",12
"CMR","CM","crtv.cm",146
"ZAF","ZA","ewn.co.za",23
"ZAF","ZA","www.pe-express.co.za",42
"ZAF","ZA","www.kwevoel.co.za",4
"TUN","TN","www.essahafa.info.tn",29
"ZAF","ZA","www.vaalweekblad.com",25
"ZAF","ZA","www.southafrica.info",22
"MOZ","MZ","www.rm.co.mz",18
"ZAF","ZA","ewn.co.za",23
"ZAF","ZA","www.pe-express.co.za",2
"ZAF","ZA","www.dieburger.com",29
"TUN","TN","www.essahafa.info.tn",30
"ZAF","ZA","www.sportelizabeth.co.za",169
"TUN","TN","www.gnet.tn",76
"ZAF","ZA","www.volksblad.com",33
"ZAF","ZA","www.hermanustimes.co.za",23
"GMB","GM","www.grts.gm",5
"ZAF","ZA","www.pmbfever.co.za",20
"MWI","MW","www.capitalradiomalawi.com",5
"ZAF","ZA","www.weslander.co.za",20
"ZAF","ZA","www.hermanustimes.co.za",18
"ZAF","ZA","www.sport24.co.za",1
"ZAF","ZA","www.beeld.com",47
"ZAF","ZA","www.sunshinecoastexpress.co.za",1
"ZAF","ZA","www.politicsweb.co.za",18
"ZAF","ZA","www.netwerk24.com",19
"ZAF","ZA","www.districtmail.com",49
"TUN","TN","www.lapresse.tn",30
"ZAF","ZA","www.witness.co.za",27
"ZAF","ZA","www.ilanganews.co.za",2
"ZAF","ZA","www.sport24.co.za",2
"ZAF","ZA","www.702.co.za",46
"ZAF","ZA","www.beeld.com",22
"ZAF","ZA","www.supersport.com",21
"ZAF","ZA","www.politicsweb.co.za",18
"TUN","TN","www.lapresse.tn",29
"ZAF","ZA","www.witness.co.za",18
"SWZ","SZ","www.observer.org.sz",50
"ZAF","ZA","www.theannouncer.co.za",21
"ZAF","ZA","mthathaexpress.co.za",38
"ZAF","ZA","www.polity.org.za",22
"ZAF","ZA","www.eastlondonexpress.co.za",38
"ZAF","ZA","isoexpress.co.za",38
"ZAF","ZA","www.zoutnet.co.za",1
"ZAF","ZA","www.jbaynews.com",24
"ZAF","ZA","www.capetalk.co.za",25
"ZAF","ZA","www.theannouncer.co.za",6
"ZAF","ZA","www.gbn.co.za",6
"ZAF","ZA","www.potchefstroomherald.co.za",37
"ZAF","ZA","sedibengster.com",43
"ZAF","ZA","www.news24.com",18
"ZAF","ZA","www.jbaynews.com",26
"ZAF","ZA","www.carletonvilleherald.com",25
"ZAF","ZA","www.thebugle.co.za",16
"ZAF","ZA","www.gbn.co.za",22
"ZAF","ZA","www.rapport.co.za",24
"ZAF","ZA","sedibengster.com",19
"NAM","NA","www.namibtimes.net",1
"ZAF","ZA","www.newspapers.co.za",3
"BWA","BW","www.echo.co.bw",8
"ZAF","ZA","www.kbn.co.za",3
"ZAF","ZA","www.carletonvilleherald.com",19
"ZAF","ZA","www.georgeherald.com",49
"ZAF","ZA","www.rapport.co.za",1
"MAR","MA","albayane.press.ma",155
"ZAF","ZA","www.edenexpress.co.za",23
"DZA","DZ","www.elwassat.com",80
"ZAF","ZA","www.noseweek.co.za",3
"BWA","BW","www.radiobotswana.gov.bw",4
"ZAF","ZA","www.cbn.co.za",17
"MDG","MG","www.lagazette-dgi.com",2
"ZAF","ZA","www.greytown.co.za",2
"ZAF","ZA","citizen.co.za",25
"ZAF","ZA","www.noseweek.co.za",45
"ZAF","ZA","www.citypress.co.za",29
"ZAF","ZA","www.tygerburger.co.za",3
"ZAF","ZA","www.grocotts.co.za",17
"ZAF","ZA","www.eikestadnuus.co.za",49
"MOZ","MZ","www.jornalnoticias.co.mz",5
"ZMB","ZM","www.daily-mail.co.zm",2
"ZAF","ZA","www.observer.co.za",20
"ZAF","ZA","polokwaneexpress.co.za",24
"ZAF","ZA","www.cxpress.co.za",200
"ZAF","ZA","www.ud-news.co.za",30
"ZAF","ZA","www.sake24.com",20
"ZAF","ZA","www.eikestadnuus.co.za",28
"MOZ","MZ","www.jornalnoticias.co.mz",38
"ZAF","ZA","landbou.com",3
"ZAF","ZA","www.paarlpost.co.za",16
"ZAF","ZA","polokwaneexpress.co.za",2
"ZAF","ZA","www.kougaexpress.co.za",18
"ZAF","ZA","www.cxpress.co.za",28
"TGO","TG","www.editogo.tg",1
"ZAF","ZA","www.sake24.com",42
"CMR","CM","crtv.cm",271
"ZAF","ZA","www.paarlpost.co.za",5
"ZAF","ZA","www.kwevoel.co.za",72
"ZAF","ZA","www.vaalweekblad.com",27
"ZAF","ZA","www.southafrica.info",40
"MOZ","MZ","www.rm.co.mz",47
"ZAF","ZA","ewn.co.za",32
"ZAF","ZA","www.pe-express.co.za",4
"ZAF","ZA","www.dieburger.com",19
"TUN","TN","www.essahafa.info.tn",15
"ZAF","ZA","www.sportelizabeth.co.za",38
"ZAF","ZA","www.peoplespost.co.za",32
"TUN","TN","www.gnet.tn",161
"ZAF","ZA","www.volksblad.com",19
"ZAF","ZA","www.hermanustimes.co.za",43
"GMB","GM","www.grts.gm",1
"ZAF","ZA","www.pmbfever.co.za",5
"TUN","TN","www.gnet.tn",15
"ZAF","ZA","www.volksblad.com",48
"ZAF","ZA","www.hermanustimes.co.za",30
"ZAF","ZA","www.beeld.com",20
"ZAF","ZA","www.sunshinecoastexpress.co.za",30
"ZAF","ZA","www.pmbfever.co.za",24
"ZAF","ZA","www.netwerk24.com",2
"ZAF","ZA","www.districtmail.com",3
"TUN","TN","www.lapresse.tn",83
"ZAF","ZA","www.weslander.co.za",20
"ZAF","ZA","www.ilanganews.co.za",40
"ZAF","ZA","www.sport24.co.za",28
"ZAF","ZA","www.702.co.za",23
"ZAF","ZA","www.beeld.com",31
"ZAF","ZA","www.supersport.com",20
"ZAF","ZA","www.politicsweb.co.za",48
"ZAF","ZA","www.netwerk24.com",31
"TUN","TN","www.lapresse.tn",30
"ZAF","ZA","www.witness.co.za",20
"ZAF","ZA","www.sportelizabeth.co.za",41
"ZAF","ZA","www.supersport.com",31
"ZAF","ZA","mthathaexpress.co.za",2
"ZAF","ZA","www.polity.org.za",36
"GHA","GH","www.ghana.gov.gh",373
"ZAF","ZA","www.eastlondonexpress.co.za",28
"ZAF","ZA","isoexpress.co.za",24
"ZAF","ZA","www.zoutnet.co.za",31
"ZAF","ZA","www.jbaynews.com",41
"ZAF","ZA","www.capetalk.co.za",22
"ZAF","ZA","www.theannouncer.co.za",18
"ZAF","ZA","www.gbn.co.za",22
"ZAF","ZA","www.potchefstroomherald.co.za",174
"ZAF","ZA","sedibengster.com",44
"ZAF","ZA","www.eastlondonexpress.co.za",35
"ZAF","ZA","www.news24.com",21
"KEN","KE","www.kbc.co.ke",3
"ZAF","ZA","www.jbaynews.com",21
"ZAF","ZA","www.carletonvilleherald.com",3
"ZAF","ZA","www.thebugle.co.za",35
"ZAF","ZA","www.gbn.co.za",22
"ZAF","ZA","www.potchefstroomherald.co.za",18
"ZAF","ZA","sedibengster.com",22
"NAM","NA","www.namibtimes.net",1
"ZAF","ZA","www.newspapers.co.za",9
"BWA","BW","www.echo.co.bw",8
"ZAF","ZA","www.kbn.co.za",21
"ZAF","ZA","www.carletonvilleherald.com",4
"ZAF","ZA","www.georgeherald.com",44
"ZAF","ZA","www.rapport.co.za",71
"MAR","MA","albayane.press.ma",123
"ZAF","ZA","www.edenexpress.co.za",29
"DZA","DZ","www.elwassat.com",40
"ZAF","ZA","www.noseweek.co.za",3
"ZAF","ZA","www.cbn.co.za",25
"ZAF","ZA","www.greytown.co.za",31
"ZAF","ZA","citizen.co.za",2
"ZAF","ZA","www.noseweek.co.za",26
"ZAF","ZA","www.citypress.co.za",55
"ZAF","ZA","www.tygerburger.co.za",5
"ZAF","ZA","www.grocotts.co.za",1
"ZMB","ZM","www.daily-mail.co.zm",2
"ZAF","ZA","www.observer.co.za",1
"ZAF","ZA","www.cxpress.co.za",198
"ZAF","ZA","www.ud-news.co.za",34
"ZAF","ZA","www.grocotts.co.za",20
"ZAF","ZA","www.sake24.com",2
"ZAF","ZA","www.eikestadnuus.co.za",2
"MOZ","MZ","www.jornalnoticias.co.mz",1
"ZAF","ZA","landbou.com",30
"ZAF","ZA","www.paarlpost.co.za",70
"ZAF","ZA","polokwaneexpress.co.za",25
"ZAF","ZA","www.cxpress.co.za",49
"TGO","TG","www.editogo.tg",114
"ZAF","ZA","www.sake24.com",2
"CMR","CM","crtv.cm",128
"ZAF","ZA","www.paarlpost.co.za",24
"ZAF","ZA","www.kwevoel.co.za",2
"TGO","TG","www.editogo.tg",3003
"ZAF","ZA","www.vaalweekblad.com",24
"ZAF","ZA","www.southafrica.info",26
"MOZ","MZ","www.rm.co.mz",408
"AGO","AO","www.portalangop.co.ao",3
"ZAF","ZA","ewn.co.za",26
